symbol,sector,industry,current_price,day_change_pct,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,volume_ratio,trend,technical_score,technical_reasons,relative_strength_score,return_1m,return_3m,return_6m,sector_bucket,fundamental_score,sector_adjustment,sector_adjusted_fundamental_score,debt_to_equity,net_profit_margin,revenue_growth,earnings_growth,operating_cashflow_cr,free_cashflow_cr,fundamental_data_coverage,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons
SUMEETINDS,Consumer Cyclical,Textile Manufacturing,31.87,-4.98,59.65,21.31,56.22,28.66,29.92,0.0,Bullish,50.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum",15.0,17.04,,,Consumer Discretionary,13.0,0.0,13.0,75.27,1.91,9.8,-99.0,,,0.5,26.13,10.0,"Low volume participation, Earnings contraction",14.72,Avoid,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum"
TVSELECT,Technology,Computer Hardware,494.75,-0.72,47.16,33.08,48.27,486.85,475.75,0.25,Bullish,42.0,"Above 50 DMA, Above 200 DMA, RSI recovering",8.0,4.57,,,IT / Technology,15.0,0.0,15.0,55.94,0.28,2.4,,5.67,-7.97,0.86,26.28,7.0,"Low volume participation, Negative free cash flow",14.69,Avoid,"Above 50 DMA, Above 200 DMA, RSI recovering"
AWHCL,Industrials,Waste Management,437.7,-1.68,17.5,32.51,35.95,461.75,484.94,1.0,Bearish,18.0,"Weak but watchable RSI, Near 52W low zone, Normal volume support",0.0,-8.43,,,Capital Goods / Infra,56.0,5.0,61.0,50.1,7.16,17.8,-18.7,142.54,44.07,1.0,25.48,15.0,"Below 200 DMA, Earnings contraction",14.67,Avoid,"Weak but watchable RSI, Near 52W low zone, Normal volume support"
SUNTECK,Real Estate,Real Estate - Development,290.7,-7.71,7.37,38.48,36.99,306.35,368.95,2.69,Bearish,31.0,"Weak but watchable RSI, Near 52W low with stable RSI, Strong volume expansion",0.0,-7.74,,,Cement / Realty,44.0,2.0,46.0,17.31,18.92,1.7,26.3,,,0.57,25.49,13.0,"Below 200 DMA, Sharp daily fall",14.67,Avoid,"Weak but watchable RSI, Near 52W low with stable RSI, Strong volume expansion"
ICICIPRULI,Financial Services,Insurance - Life,499.5,-0.2,8.71,29.08,49.94,498.45,579.77,1.7,Bullish,45.0,"Above 50 DMA, RSI recovering, Near 52W low with stable RSI, Volume expansion",8.0,0.18,,,Financial Services,48.0,-4.0,44.0,19.04,2.55,-83.1,61.4,-5355.08,2168.01,1.0,26.61,18.0,"Below 200 DMA, Revenue contraction, Negative operating cash flow",14.64,Avoid,"Above 50 DMA, RSI recovering, Near 52W low with stable RSI, Volume expansion"
BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",237.45,-0.64,11.1,40.33,50.48,230.52,267.55,0.45,Bullish,40.0,"Above 50 DMA, Healthy RSI momentum, Near 52W low zone",8.0,4.63,,,Consumer Discretionary,37.0,2.0,39.0,16.7,6.24,5.2,-5.4,118.83,-37.83,0.93,26.13,15.0,"Below 200 DMA, Low volume participation, Negative free cash flow",14.57,Avoid,"Above 50 DMA, Healthy RSI momentum, Near 52W low zone"
VGUARD,Industrials,Electrical Equipment & Parts,294.9,-2.01,1.69,27.75,37.76,305.92,327.38,0.92,Bearish,16.0,"Weak but watchable RSI, Near 52W low with stable RSI",0.0,-5.34,,,Capital Goods / Infra,37.0,5.0,42.0,6.96,5.78,23.5,76.2,,,0.57,25.48,8.0,Below 200 DMA,14.52,Avoid,"Weak but watchable RSI, Near 52W low with stable RSI"
GLOBUSSPR,Consumer Defensive,Beverages - Wineries & Distilleries,878.85,-2.23,9.85,32.4,43.06,888.85,973.99,0.73,Bearish,16.0,"Weak but watchable RSI, Near 52W low with stable RSI",8.0,0.23,,,FMCG / Consumer,34.0,3.0,37.0,48.42,3.59,12.7,48.7,,,0.57,23.41,8.0,Below 200 DMA,14.46,Avoid,"Weak but watchable RSI, Near 52W low with stable RSI"
JUBLFOOD,Consumer Cyclical,Restaurants,417.2,-1.95,2.35,38.71,44.46,429.34,505.11,0.27,Bearish,16.0,"Weak but watchable RSI, Near 52W low with stable RSI",0.0,-1.48,,,Consumer Discretionary,48.0,2.0,50.0,2.65,4.5,20.3,,1893.55,487.7,0.93,26.13,11.0,"Below 200 DMA, Low volume participation",14.42,Avoid,"Weak but watchable RSI, Near 52W low with stable RSI"
GOKEX,Consumer Cyclical,Apparel Manufacturing,796.35,-4.25,49.97,16.6,45.43,766.31,744.3,0.83,Bullish,42.0,"Above 50 DMA, Above 200 DMA, RSI recovering",0.0,-3.97,,,,,,0.0,,,,,,,,26.13,0.0,,14.42,Avoid,"Above 50 DMA, Above 200 DMA, RSI recovering"
PGEL,Technology,Electronic Components,575.4,-5.7,31.81,30.1,51.64,527.18,551.87,1.75,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Volume expansion",8.0,2.31,,,IT / Technology,27.0,0.0,27.0,19.57,3.72,-10.1,-57.0,66.22,-742.64,1.0,26.28,16.0,"Sharp daily fall, Earnings contraction, Negative free cash flow",14.39,Avoid,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Volume expansion"
SIRCA,Basic Materials,Specialty Chemicals,393.5,-1.08,2.21,26.99,38.55,410.73,455.32,0.82,Bearish,16.0,"Weak but watchable RSI, Near 52W low with stable RSI",0.0,-3.86,,,Chemicals,39.0,2.0,41.0,6.8,13.19,13.8,10.0,,,0.57,26.45,8.0,Below 200 DMA,14.32,Avoid,"Weak but watchable RSI, Near 52W low with stable RSI"
APLAPOLLO,Basic Materials,Steel,1822.9,0.18,22.6,20.79,51.64,1825.38,1901.25,0.62,Bearish,30.0,"Healthy RSI momentum, Near 52W low zone, Positive day move",0.0,-1.04,,,Metals / Mining,29.0,2.0,31.0,9.4,5.23,8.5,11.0,,,0.57,26.45,8.0,Below 200 DMA,14.32,Avoid,"Healthy RSI momentum, Near 52W low zone, Positive day move"
INDGN,Healthcare,Health Information Services,493.35,-2.84,19.17,17.33,37.86,513.91,506.9,0.58,Bearish,13.0,"Weak but watchable RSI, Near 52W low zone",0.0,-7.11,,,Pharma / Healthcare,39.0,2.0,41.0,5.04,10.52,39.7,-0.2,,,0.57,31.13,8.0,Below 200 DMA,14.27,Avoid,"Weak but watchable RSI, Near 52W low zone"
OSWALPUMPS,Industrials,Electrical Equipment & Parts,356.35,-8.8,25.87,59.89,27.84,397.3,461.25,3.1,Bearish,19.0,"Oversold RSI, Strong volume expansion",0.0,-15.89,,,Capital Goods / Infra,74.0,5.0,79.0,14.11,18.23,39.8,34.9,-77.08,-447.21,0.93,25.48,22.0,"Below 200 DMA, Sharp daily fall, Negative operating cash flow, Negative free cash flow",14.22,Avoid,"Oversold RSI, Strong volume expansion"
KAYNES,Technology,Electronic Components,3252.4,-0.6,8.59,57.79,47.26,3224.96,4268.36,0.47,Bullish,35.0,"Above 50 DMA, RSI recovering, Near 52W low with stable RSI",8.0,1.1,,,IT / Technology,30.0,0.0,30.0,19.17,8.9,42.6,-0.4,,,0.5,26.28,11.0,"Below 200 DMA, Low volume participation",14.19,Avoid,"Above 50 DMA, RSI recovering, Near 52W low with stable RSI"
VSTTILLERS,Industrials,Farm & Heavy Construction Machinery,4441.9,-1.03,3.9,30.31,40.77,4580.98,5310.43,0.7,Bearish,16.0,"Weak but watchable RSI, Near 52W low with stable RSI",0.0,-1.19,,,Capital Goods / Infra,61.0,0.0,61.0,0.17,8.44,9.0,-79.2,131.61,85.4,1.0,25.48,15.0,"Below 200 DMA, Earnings contraction",14.17,Avoid,"Weak but watchable RSI, Near 52W low with stable RSI"
MWL,Basic Materials,Steel,35.9,-1.78,115.36,14.42,37.68,37.26,29.32,0.27,Bearish,23.0,"Above 200 DMA, Weak but watchable RSI",0.0,-90.37,,,Metals / Mining,21.0,0.0,21.0,160.46,4.16,14.7,17.6,,,0.57,26.45,3.0,Low volume participation,14.07,Avoid,"Above 200 DMA, Weak but watchable RSI"
PALASHSECU,Consumer Defensive,Packaged Foods,89.35,0.04,13.09,33.72,42.06,94.73,100.94,0.32,Bearish,18.0,"Weak but watchable RSI, Near 52W low zone, Positive day move",0.0,-3.92,,,FMCG / Consumer,60.0,3.0,63.0,0.02,21.8,75.1,,-17.9,18.99,0.86,23.41,16.0,"Below 200 DMA, Low volume participation, Negative operating cash flow",14.06,Avoid,"Weak but watchable RSI, Near 52W low zone, Positive day move"
KSB,Industrials,Specialty Industrial Machinery,892.35,-1.59,34.52,12.79,42.52,873.81,804.59,0.58,Bullish,38.0,"Above 50 DMA, Above 200 DMA, Weak but watchable RSI",0.0,-5.7,,,Capital Goods / Infra,22.0,0.0,22.0,0.31,9.57,1.0,-23.2,,,0.57,25.48,7.0,Earnings contraction,14.02,Avoid,"Above 50 DMA, Above 200 DMA, Weak but watchable RSI"
VINCOFE,Consumer Defensive,Beverages - Non-Alcoholic,156.16,-0.29,29.87,13.17,49.91,151.16,149.11,0.64,Bullish,42.0,"Above 50 DMA, Above 200 DMA, RSI recovering",0.0,-2.87,,,,,,0.0,,,,,,,,23.41,0.0,,14.01,Avoid,"Above 50 DMA, Above 200 DMA, RSI recovering"
