symbol,company_name,sector_yf,industry_yf,sector_bucket,market_cap_cr,market_cap_cr_known,trailing_pe,trailing_pe_known,forward_pe,forward_pe_known,price_to_book,price_to_book_known,debt_to_equity,debt_to_equity_known,roe,roe_known,roa,roa_known,operating_margin,operating_margin_known,net_profit_margin,net_profit_margin_known,gross_margin,gross_margin_known,revenue_growth,revenue_growth_known,earnings_growth,earnings_growth_known,current_ratio,current_ratio_known,quick_ratio,quick_ratio_known,total_cash_cr,total_cash_cr_known,total_debt_cr,total_debt_cr_known,free_cashflow_cr,free_cashflow_cr_known,operating_cashflow_cr,operating_cashflow_cr_known,dividend_yield,dividend_yield_known,beta,beta_known,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_score,fundamental_data_coverage,fundamental_reasons,fundamental_risk_reasons,sector_adjustment,sector_adjusted_fundamental_score,sector_adjustment_reasons
INOXGREEN,Inox Green Energy Services Limited,Utilities,Utilities - Renewable,Energy / Utilities,6878.36,True,54.3873,True,,False,3.928,True,5.147,True,,False,,False,-3.14,True,44.54,True,19.85,True,-23.0,True,74.1,True,,False,,False,504.58,True,88.28,True,,False,,False,,False,1.364,True,6.0,10.0,12.0,0.0,4.0,32.0,0.5,Cash covers debt,Revenue contraction,2.0,34.0,General low-debt support
BCLIND,BCL Industries Limited,Consumer Defensive,Beverages - Wineries & Distilleries,FMCG / Consumer,975.81,True,8.3909,True,,False,1.0719,True,59.845,True,,False,,False,8.8,True,4.51,True,25.63,True,-26.4,True,-26.0,True,,False,,False,197.54,True,569.16,True,,False,,False,1.06,True,0.607,True,0.0,0.0,4.0,0.0,11.0,15.0,0.57,,"Revenue contraction, Earnings contraction",0.0,15.0,
SYNGENE,Syngene International Limited,Healthcare,Diagnostics & Research,Pharma / Healthcare,14854.38,True,67.1,True,34.6248,True,3.0651,True,9.473,True,,False,,False,3.9,True,6.14,True,68.0,True,-15.8,True,,False,,False,,False,1289.1,True,458.4,True,,False,,False,34.0,True,0.076,True,3.0,0.0,12.0,0.0,7.0,22.0,0.5,Cash covers debt,Revenue contraction,2.0,24.0,General low-debt support
NILAINFRA,Nila Infrastructures Limited,Real Estate,Real Estate - Development,Cement / Realty,261.15,True,10.5238,True,,False,1.394,True,12.646,True,,False,,False,9.53,True,8.22,True,14.74,True,-19.9,True,23.5,True,,False,,False,0.28,True,23.69,True,,False,,False,,False,0.785,True,3.0,8.0,9.0,0.0,10.0,30.0,0.5,,Revenue contraction,2.0,32.0,General low-debt support
RAMKY,Ramky Infrastructure Limited,Industrials,Engineering & Construction,Capital Goods / Infra,2209.83,True,9.3624,True,,False,1.0213,True,27.392,True,,False,,False,4.17,True,12.17,True,25.24,True,24.3,True,-47.2,True,,False,,False,267.36,True,591.18,True,,False,,False,31.0,True,-0.081,True,5.0,8.0,7.0,0.0,12.0,32.0,0.57,,Earnings contraction,5.0,37.0,Strong order-book-driven revenue growth
COCHINSHIP,Cochin Shipyard Limited,Industrials,Aerospace & Defense,Capital Goods / Infra,36778.7,True,54.0603,True,31.2752,True,6.2623,True,28.466,True,,False,,False,14.7,True,13.48,True,33.39,True,2.4,True,-19.3,True,,False,,False,2405.94,True,1671.75,True,,False,,False,80.0,True,0.582,True,8.0,0.0,10.0,0.0,7.0,25.0,0.57,Cash covers debt,Earnings contraction,0.0,25.0,
DELHIVERY,Delhivery Limited,Industrials,Integrated Freight & Logistics,Capital Goods / Infra,32069.8,True,345.1613,True,38.8847,True,3.2977,True,15.098,True,,False,,False,-1.61,True,0.84,True,84.92,True,27.8,True,-65.0,True,,False,,False,1982.49,True,1462.57,True,,False,,False,,False,0.166,True,0.0,10.0,12.0,0.0,5.0,27.0,0.5,Cash covers debt,"Earnings contraction, Very high PE",5.0,32.0,Strong order-book-driven revenue growth
PFIZER,Pfizer Limited,Healthcare,Drug Manufacturers - General,Pharma / Healthcare,18310.07,True,24.8751,True,19.5573,True,4.3565,True,1.671,True,,False,,False,35.72,True,28.61,True,64.19,True,8.3,True,6.6,True,,False,,False,3088.39,True,70.23,True,,False,,False,1.87,True,0.117,True,12.0,7.0,12.0,0.0,10.0,41.0,0.57,Cash covers debt,,2.0,43.0,General low-debt support
SAMPANN,Sampann Utpadan India Limited,Basic Materials,Specialty Chemicals,Chemicals,126.09,True,18.1397,True,,False,2.5287,True,201.921,True,20.73,True,4.44,True,7.26,True,4.62,True,19.67,True,27.6,True,-6.7,True,1.985,True,0.549,True,0.41,True,96.35,True,,False,,False,,False,0.388,True,6.0,10.0,4.0,0.0,10.0,30.0,0.79,Strong ROE,"Earnings contraction, Very high debt",2.0,32.0,General quality ROE
REPRO,Repro India Limited,Industrials,Specialty Business Services,Capital Goods / Infra,437.89,True,4.4863,True,,False,1.2525,True,53.066,True,,False,,False,-3.56,True,18.94,True,41.92,True,20.1,True,,False,,False,,False,21.34,True,185.53,True,,False,,False,,False,0.257,True,6.0,8.0,4.0,0.0,10.0,28.0,0.43,,,5.0,33.0,Strong order-book-driven revenue growth
