symbol,sector,company_name
AMBUJACEM,Unknown,Ambuja Cements Limited
AMDIND,Unknown,AMD Industries Limited
AMJLAND,Unknown,Amj Land Holdings Limited
AMNPLST,Unknown,Amines & Plasticizers Limited
AMRUTANJAN,Unknown,Amrutanjan Health Care Limited
ANANDRATHI,Unknown,Anand Rathi Wealth Limited
ANANTRAJ,Unknown,Anant Raj Limited
ANDHRAPAP,Unknown,ANDHRA PAPER LIMITED
ANDHRSUGAR,Unknown,The Andhra Sugars Limited
ANDREWYU,Unknown,Andrew Yule & Company Limited
ANGELONE,Unknown,Angel One Limited
ANIKINDS,Unknown,Anik Industries Limited
ANMOL,Unknown,Anmol India Limited
ANNAPURNA,Unknown,Annapurna Swadisht Limited
ANSALBU,Unknown,Ansal Buildwell Limited
ANTELOPUS,Unknown,Antelopus Selan Energy Limited
ANTGRAPHIC,Unknown,Antarctica Limited
ANTHEM,Unknown,Anthem Biosciences Limited
ANUHPHR,Unknown,Anuh Pharma Limited
ANUP,Unknown,The Anup Engineering Limited
ANURAS,Unknown,Anupam Rasayan India Limited
APARINDS,Unknown,Apar Industries Limited
APCL,Unknown,Anjani Portland Cement Limited
APCOTEXIND,Unknown,Apcotex Industries Limited
APEX,Unknown,Apex Frozen Foods Limited
APLAPOLLO,Unknown,APL Apollo Tubes Limited
APLLTD,Unknown,Alembic Pharmaceuticals Limited
APOLLO,Unknown,Apollo Micro Systems Limited
APOLLOHOSP,Unknown,Apollo Hospitals Enterprise Limited
APOLLOPIPE,Unknown,Apollo Pipes Limited
APOLLOTYRE,Unknown,Apollo Tyres Limited
APOLSINHOT,Unknown,Apollo Sindoori Hotels Limited
APOORVA,Unknown,Apoorva Leasing Finance and Investment Company Limited
APTUS,Unknown,Aptus Value Housing Finance India Limited
AQYLON,Unknown,Aqylon Nexus Limited
ARCHIDPLY,Unknown,Archidply Industries Limited
ARCHIES,Unknown,Archies Limited
ARCL,Unknown,ARCL Organics Limited
ARDEE,Unknown,Ardee Industries Limited
ARE&M,Unknown,Amara Raja Energy & Mobility Limited
ARENTERP,Unknown,Rajdarshan Industries Limited
ARFIN,Unknown,Arfin India Limited
ARIES,Unknown,Aries Agro Limited
ARIHANT,Unknown,Arihant Foundations & Housing Limited
ARIHANTCAP,Unknown,Arihant Capital Markets Limited
ARIHANTSUP,Unknown,Arihant Superstructures Limited
ARIS,Unknown,Arisinfra Solutions Limited
ARKADE,Unknown,Arkade Developers Limited
ARMANFIN,Unknown,Arman Financial Services Limited
AROGRANITE,Unknown,Aro Granite Industries Limited
ARSSBL,Unknown,Anand Rathi Share and Stock Brokers Limited
ARTEMISMED,Unknown,Artemis Medicare Services Limited
ARTNIRMAN,Unknown,Art Nirman Limited
ARVEE,Unknown,Arvee Laboratories (India) Limited
ARVIND,Unknown,Arvind Limited
ARVINDFASN,Unknown,Arvind Fashions Limited
ARVSMART,Unknown,Arvind SmartSpaces Limited
ARYAMAN,Unknown,Aryaman Financial Services Limited
ASAHIINDIA,Unknown,Asahi India Glass Limited
ASAL,Unknown,Automotive Stampings and Assemblies Limited
ASALCBR,Unknown,Associated Alcohols & Breweries Ltd.
ASHAPURMIN,Unknown,Ashapura Minechem Limited
ASHIANA,Unknown,Ashiana Housing Limited
ASHIMASYN,Unknown,Ashima Limited
ASHOKA,Unknown,Ashoka Buildcon Limited
ASHOKAMET,Unknown,Ashoka Metcast Limited
ASHOKLEY,Unknown,Ashok Leyland Limited
ASIANENE,Unknown,Asian Energy Services Limited
ASIANHOTNR,Unknown,Asian Hotels (North) Limited
ASIANPAINT,Unknown,Asian Paints Limited
ASIANTILES,Unknown,Asian Granito India Limited
ASIANTNE,Unknown,Asian Tea & Exports Limited
ASKAUTOLTD,Unknown,ASK Automotive Limited
ASPINWALL,Unknown,Aspinwall and Company Limited
ASSAMENT,Unknown,Assam Entrade Limited
ASTAR,Unknown,Asian Star Company Limited
ASTEC,Unknown,Astec LifeSciences Limited
ASTERDM,Unknown,Aster DM Quality Care Limited
ASTRAL,Unknown,Astral Limited
ASTRAMICRO,Unknown,Astra Microwave Products Limited
ASTRAZEN,Unknown,AstraZeneca Pharma India Limited
ATALREAL,Unknown,Atal Realtech Limited
ATAM,Unknown,Atam Valves Limited
ATGL,Unknown,Adani Total Gas Limited
ATHERENERG,Unknown,Ather Energy Limited
ATL,Unknown,Allcargo Terminals Limited
ATLANTAA,Unknown,ATLANTAA LIMITED
ATLANTAELE,Unknown,Atlanta Electricals Limited
ATLASCYCLE,Unknown,Atlas Cycles (Haryana) Limited
ATUL,Unknown,Atul Limited
ATULAUTO,Unknown,Atul Auto Limited
AUBANK,Unknown,AU Small Finance Bank Limited
